TeamYear,Season,Team,W%,HR,BB%,ISO,BABIP_x,AVG,OBP,SLG,wOBA,BIZ,Plays,RZR,HR/9,BABIP_y,GB%,HR/FB
2010_Padres,2010,Padres,0.5555555555555556,0.8148148148148148,0.08800000000000001,0.125,0.29,0.246,0.317,0.371,0.304,13.530864197530864,11.308641975308642,0.836,0.86,0.28600000000000003,0.46,0.09300000000000001
2015_Cardinals,2015,Cardinals,0.6172839506172839,0.845679012345679,0.08199999999999999,0.142,0.303,0.253,0.321,0.394,0.311,13.25925925925926,10.820987654320987,0.816,0.76,0.297,0.48,0.094
2010_Tigers,2010,Tigers,0.5,0.9382716049382716,0.087,0.147,0.311,0.268,0.335,0.415,0.33,14.45679012345679,11.969135802469136,0.828,0.88,0.29600000000000004,0.43799999999999994,0.083
2008_Rangers,2008,Rangers,0.4876543209876543,1.1975308641975309,0.092,0.179,0.325,0.28300000000000003,0.354,0.462,0.355,15.339506172839506,12.475308641975309,0.813,1.1,0.315,0.43200000000000005,0.102
2019_Mets,2019,Mets,0.5308641975308642,1.4938271604938271,0.08199999999999999,0.185,0.299,0.257,0.328,0.442,0.325,12.166666666666666,9.820987654320987,0.807,1.26,0.304,0.434,0.139
2019_Diamondbacks,2019,Diamondbacks,0.5246913580246914,1.3580246913580247,0.086,0.182,0.293,0.252,0.32299999999999995,0.434,0.319,11.475308641975309,9.419753086419753,0.821,1.35,0.295,0.431,0.152
2016_Mets,2016,Mets,0.5370370370370371,1.345679012345679,0.085,0.171,0.282,0.246,0.316,0.417,0.315,12.648148148148149,10.030864197530864,0.7929999999999999,0.95,0.308,0.442,0.111
2018_Rays,2018,Rays,0.5555555555555556,0.9259259259259259,0.087,0.14800000000000002,0.317,0.258,0.333,0.406,0.322,11.87037037037037,9.697530864197532,0.8170000000000001,1.02,0.278,0.439,0.115
2012_Rangers,2012,Rangers,0.5740740740740741,1.2345679012345678,0.077,0.173,0.306,0.273,0.334,0.446,0.336,13.123456790123457,10.753086419753087,0.8190000000000001,1.09,0.292,0.439,0.11599999999999999
2008_Astros,2008,Astros,0.5341614906832298,1.0372670807453417,0.07400000000000001,0.152,0.29600000000000004,0.263,0.32299999999999995,0.415,0.322,14.198757763975156,12.037267080745341,0.848,1.24,0.293,0.433,0.121
2006_Cardinals,2006,Cardinals,0.515527950310559,1.1428571428571428,0.085,0.163,0.292,0.269,0.337,0.431,0.331,14.73913043478261,12.267080745341614,0.8320000000000001,1.21,0.28800000000000003,0.462,0.125
2010_Phillies,2010,Phillies,0.5987654320987654,1.0246913580246915,0.08900000000000001,0.153,0.292,0.26,0.332,0.413,0.327,14.253086419753087,11.790123456790123,0.8270000000000001,1.04,0.289,0.465,0.106
2011_Tigers,2011,Tigers,0.5864197530864198,1.0432098765432098,0.084,0.157,0.318,0.277,0.34,0.434,0.337,14.092592592592593,11.753086419753087,0.8340000000000001,0.93,0.292,0.445,0.09300000000000001
2007_Rockies,2007,Rockies,0.5521472392638037,1.049079754601227,0.096,0.158,0.322,0.28,0.354,0.4370000000000001,0.34600000000000003,15.552147239263803,13.006134969325153,0.836,1.0,0.29,0.465,0.099
2019_Rays,2019,Rays,0.5925925925925926,1.3395061728395061,0.086,0.17800000000000002,0.306,0.254,0.325,0.431,0.321,11.123456790123457,8.858024691358025,0.7959999999999999,1.1,0.29,0.441,0.134
2013_Pirates,2013,Pirates,0.5802469135802469,0.9938271604938271,0.076,0.151,0.294,0.245,0.313,0.396,0.312,13.61111111111111,11.209876543209877,0.8240000000000001,0.62,0.285,0.525,0.08900000000000001
2006_Twins,2006,Twins,0.5925925925925926,0.8827160493827161,0.079,0.138,0.316,0.287,0.34700000000000003,0.425,0.334,15.160493827160494,12.462962962962964,0.8220000000000001,1.14,0.302,0.43700000000000006,0.113
2017_Mets,2017,Mets,0.43209876543209874,1.382716049382716,0.086,0.184,0.28600000000000003,0.25,0.32,0.434,0.322,12.969135802469136,10.345679012345679,0.7979999999999999,1.38,0.319,0.444,0.149
2013_Brewers,2013,Brewers,0.4567901234567901,0.9691358024691358,0.067,0.145,0.294,0.252,0.311,0.398,0.311,13.45679012345679,11.024691358024691,0.8190000000000001,1.09,0.28600000000000003,0.444,0.11900000000000001
2013_Indians,2013,Indians,0.5679012345679012,1.0555555555555556,0.091,0.155,0.3,0.255,0.327,0.41,0.324,12.753086419753087,10.703703703703704,0.8390000000000001,0.92,0.302,0.445,0.107
2013_Reds,2013,Reds,0.5555555555555556,0.9567901234567902,0.09300000000000001,0.142,0.293,0.249,0.327,0.391,0.316,13.209876543209877,11.246913580246913,0.851,1.04,0.273,0.441,0.115
2009_Twins,2009,Twins,0.5337423312883436,1.0552147239263803,0.092,0.155,0.306,0.274,0.345,0.429,0.338,14.374233128834355,12.012269938650308,0.836,1.15,0.301,0.409,0.09699999999999999
2019_Cardinals,2019,Cardinals,0.5617283950617284,1.2962962962962963,0.091,0.17,0.292,0.245,0.322,0.415,0.314,11.845679012345679,9.728395061728396,0.821,1.19,0.28300000000000003,0.449,0.145
2016_Nationals,2016,Nationals,0.5864197530864198,1.2530864197530864,0.086,0.17,0.293,0.256,0.326,0.426,0.322,11.833333333333334,9.697530864197532,0.82,0.96,0.28800000000000003,0.433,0.109
2009_Braves,2009,Braves,0.5308641975308642,0.9197530864197531,0.095,0.142,0.3,0.263,0.339,0.405,0.327,13.660493827160494,11.283950617283951,0.826,0.73,0.299,0.46399999999999997,0.081
2014_Blue Jays,2014,Blue Jays,0.5123456790123457,1.0925925925925926,0.081,0.155,0.295,0.259,0.32299999999999995,0.414,0.325,13.919753086419753,11.401234567901234,0.8190000000000001,0.94,0.294,0.429,0.094
2016_Cardinals,2016,Cardinals,0.5308641975308642,1.3888888888888888,0.085,0.187,0.294,0.255,0.325,0.443,0.329,13.04320987654321,10.592592592592593,0.812,0.99,0.304,0.495,0.128
2010_Rangers,2010,Rangers,0.5555555555555556,1.0,0.081,0.14300000000000002,0.307,0.276,0.338,0.419,0.333,14.0,11.691358024691358,0.835,1.0,0.28,0.415,0.09300000000000001
2006_Tigers,2006,Tigers,0.5864197530864198,1.2530864197530864,0.069,0.174,0.31,0.274,0.329,0.449,0.334,15.296296296296296,12.845679012345679,0.84,0.99,0.284,0.455,0.1
2015_Royals,2015,Royals,0.5864197530864198,0.8580246913580247,0.063,0.14400000000000002,0.301,0.269,0.322,0.412,0.318,13.635802469135802,11.537037037037036,0.846,0.96,0.28600000000000003,0.428,0.099
2010_Diamondbacks,2010,Diamondbacks,0.4012345679012346,1.1111111111111112,0.095,0.166,0.312,0.25,0.325,0.416,0.325,14.364197530864198,11.925925925925926,0.83,1.32,0.29600000000000004,0.418,0.12
2012_Diamondbacks,2012,Diamondbacks,0.5,1.0185185185185186,0.08800000000000001,0.159,0.307,0.259,0.328,0.418,0.32299999999999995,13.598765432098766,11.290123456790123,0.83,0.97,0.301,0.461,0.11
2007_Indians,2007,Indians,0.5925925925925926,1.0987654320987654,0.09300000000000001,0.159,0.31,0.268,0.343,0.428,0.336,15.944444444444445,12.864197530864198,0.807,0.9,0.302,0.45299999999999996,0.087
2017_Rays,2017,Rays,0.49382716049382713,1.4074074074074074,0.08900000000000001,0.17800000000000002,0.29600000000000004,0.245,0.317,0.422,0.316,12.24074074074074,9.858024691358025,0.805,1.2,0.28300000000000003,0.43,0.128
2015_Rangers,2015,Rangers,0.5432098765432098,1.0617283950617284,0.081,0.156,0.3,0.257,0.325,0.413,0.321,14.358024691358025,11.703703703703704,0.815,1.07,0.294,0.442,0.11199999999999999
2007_Angels,2007,Angels,0.5802469135802469,0.7592592592592593,0.08199999999999999,0.133,0.315,0.284,0.345,0.417,0.333,14.851851851851851,12.11111111111111,0.815,0.95,0.307,0.42200000000000004,0.086
2017_Mariners,2017,Mariners,0.48148148148148145,1.2345679012345678,0.079,0.165,0.3,0.259,0.325,0.424,0.321,12.981481481481481,10.419753086419753,0.8029999999999999,1.48,0.28300000000000003,0.40299999999999997,0.141
